CellID,display_class,feature,value
PC1_cellid_000152206-1,Supported Duct2-Fibroblast,Cell area,80.0365349943545
PC1_cellid_000152252-1,Fibroblast singlet,Cell area,100.100337484208
PC1_cellid_000152253-1,Duct2 singlet,Cell area,143.808370573741
PC1_cellid_000152270-1,Duct2 singlet,Cell area,91.9816549620461
PC1_cellid_000152277-1,Fibroblast singlet,Cell area,112.182129305083
PC1_cellid_000152283-1,Duct2 singlet,Cell area,64.0185938019782
PC1_cellid_000152292-1,Fibroblast singlet,Cell area,175.980924811673
PC1_cellid_000152293-1,Duct2 singlet,Cell area,175.817667474727
PC1_cellid_000152340-1,Fibroblast singlet,Cell area,83.8906812539433
PC1_cellid_000152348-1,Duct2 singlet,Cell area,119.917381751481
PC1_cellid_000152361-1,Fibroblast singlet,Cell area,112.154794934446
PC1_cellid_000152362-1,Fibroblast singlet,Cell area,56.0635430601913
PC1_cellid_000152369-1,Fibroblast singlet,Cell area,39.9366388287042
PC1_cellid_000152370-1,Duct2 singlet,Cell area,75.8813362143252
PC1_cellid_000152407-1,Fibroblast singlet,Cell area,215.971857938217
PC1_cellid_000152414-1,Fibroblast singlet,Cell area,119.972050492752
PC1_cellid_000152420-1,Fibroblast singlet,Cell area,68.0086630278846
PC1_cellid_000152428-1,Fibroblast singlet,Cell area,92.0086148892503
PC1_cellid_000152437-1,Fibroblast singlet,Cell area,55.9815399482794
PC1_cellid_000152456-1,Fibroblast singlet,Cell area,88.0177967764689
PC1_cellid_000152531-1,Duct2 singlet,Cell area,135.962657314501
PC1_cellid_000152537-1,Duct2 singlet,Cell area,68.0094119147498
PC1_cellid_000152554-1,Duct2 singlet,Cell area,88.0455055905428
PC1_cellid_000152556-1,Duct2 singlet,Cell area,148.04519802223
PC1_cellid_000152576-1,Fibroblast singlet,Cell area,79.9545318824459
PC1_cellid_000152578-1,Duct2 singlet,Cell area,139.982307571647
PC1_cellid_000152594-1,Duct2 singlet,Cell area,144.000460055043
PC1_cellid_000152597-1,Duct2 singlet,Cell area,183.880557925316
PC1_cellid_000152672-1,Fibroblast singlet,Cell area,116.035901121252
PC1_cellid_000152674-1,Fibroblast singlet,Cell area,115.981606823409
PC1_cellid_000152690-1,Fibroblast singlet,Cell area,71.89051810155
PC1_cellid_000152692-1,Fibroblast singlet,Cell area,55.9272456504438
PC1_cellid_000152699-1,Duct2 singlet,Cell area,68.0637062125851
PC1_cellid_000152708-1,Duct2 singlet,Cell area,63.9905105444725
PC1_cellid_000152719-1,Duct2 singlet,Cell area,96.0275162595213
PC1_cellid_000152736-1,Duct2 singlet,Cell area,75.9082961415293
PC1_cellid_000152740-1,Duct2 singlet,Cell area,104.036486855718
PC1_cellid_000152777-1,Fibroblast singlet,Cell area,151.953638579666
PC1_cellid_000152829-1,Fibroblast singlet,Cell area,108.1093080804
PC1_cellid_000152890-1,Supported Duct2-Fibroblast,Cell area,195.881469964591
PC1_cellid_000152941-1,Duct2 singlet,Cell area,191.972654963714
